576876774,Apple,0.49,100
898789809,Kind Bar,1.2,20
346765689,Greek Yogurt,1.59,25
367656768,Paper Towel,2.49,50
887654567,Pumpkin,9.99,30
907539754,Peach,0.49,100
233345678,Pear,0.49,100
900089877,Salt,2,25
211345679,Black Pepper,1.49,25
780679543,Kiwi,0.49,200
983458721,Prune,0.49,100
458976534,Soup,1.29,20
134798543,Ketchup,2.49,20
987322345,Salmon,6.49,20
116789876,Body Lotion,10.49,10
678998768,Battery,4.49,20
166795467,Vegetable Oil,2.49,20
009876542,Corn Oil,2.49,20
776542980,Burger,3.49,10
156034787,Baking Soda,3.1,20
